,Stock_Symbols,Class,returnOnEquity,EPS,priceToSalesRatio,PB ratio,Price to Sales Ratio,Market Cap,PE ratio,POCF ratio,ROIC,longtermDebtToCapitalization,Dividend Yield,debtEquityRatio,returnOnAssets,Debt to Assets,10Y Net Income Growth (per Share),10Y Revenue Growth (per Share),10Y Shareholders Equity Growth (per Share),10Y Operating CF Growth (per Share)
0,CMCSA,1.0,0.1116,2.56,3.0003,3.0391,3.0003,212264774961.6,31.296,6.3757,0.0887,0.24626923876872,0.0269,0.5277,0.3606,0.2407,-0.0068,0.0138,0.1211,0.0528
2,INTC,1.0,0.3193,4.57,0.3156,3.3579,0.3156,34235483913.28,20.023,7.2774,0.097,0.5873918567366401,0.0256,1.7711,0.112,0.3563,0.0,0.1117,0.0842,0.1289
3,MU,1.0,36.9667,12.27,0.302,0.0,0.302,8011704729.6,3.7604,3.5168,0.0283,0.92297656979015,0.0,12.0292,0.551,0.6202,0.1397,-0.0177,-0.2108,0.0202
4,GE,1.0,0.2444,-2.62,1.9032,5.1004,1.9032,33553903735.82,27.8663,14.9109,0.0994,0.58873530810234,0.0508,1.7101,0.4736,0.3883,0.0202,0.0682,0.0088,0.0603
6,AAPL,1.0,0.2877,12.01,4.218,6.0879,4.218,186832402301.76,25.4201,14.1753,0.0995,0.56277253251431,0.012,1.982,0.3861,0.5238,0.0519,0.0774,0.0556,0.0485
7,MSFT,1.0,0.201,2.15,0.5688,3.1721,0.5688,276259605900.45,16.9053,17.5097,0.1166,0.35343886462882,0.0165,0.6212,0.1427,0.2507,0.0771,0.0846,0.0807,0.0702
8,SIRI,1.0,0.2594,0.26,2.4044,2.1993,2.4044,71258269982.56,9.9866,13.4873,0.0323,0.34439001511283,0.0079,0.6836,1.1358,0.2795,0.1132,-0.0084,0.0002,-0.0206
9,HPQ,1.0,1.8198,3.3,4.4873,32.3094,4.4873,114131150260.61,21.8015,8.4363,0.1613,0.52084349555364,0.0231,1.087,-29.6102,0.3022,-0.0609,-0.0823,-0.2179,-0.1127
14,SNAP,1.0,-5.8218,-0.97,2.4856,5.6125,2.4856,46209188520.3,45.7914,-10.3417,0.0063,0.49872127280839,0.0,1.0479,0.1639,0.3515,-0.0183,0.0417,0.0,0.0643
15,FB,1.0,0.4823,7.65,1.9165,59.0308,1.9165,15488771618.16,23.4178,12.8689,0.2417,1.0160959444532,0.0,-74.2353,0.4076,0.5186,0.0213,0.0412,0.0361,0.0483
16,WFC,1.0,-0.1169,4.31,0.6513,8.2107,0.6513,47294605586.25,0.0,6.0131,0.0968,0.6027611357124301,0.0356,2.3167,-0.0588,0.4508,0.0,0.0824,0.0434,0.0482
17,AIG,1.0,0.1716,-0.01,1.9308,2.1589,1.9308,17886631290.36,26.0077,571.5409,0.1257,0.4796803469600801,0.0325,0.9848,0.3687,0.3169,0.1091,0.0599,0.1009,0.0652
